Rank,Entity,Continent,Overall life expectancy at birth,Male life expectancy at birth,Female life expectancy at birth
1, Monaco,Europe,89.5,85.6,93.5
2, Japan,Asia,85,81.7,88.5
3, Singapore,Asia,85,82.3,87.8
4, Macau ( China),Asia,84.5,81.6,87.6
5, San Marino,Europe,83.3,80.7,86.1
6, Iceland,Europe,83,80.9,85.3
7, Hong Kong ( China),Asia,82.9,80.3,85.8
8, Andorra,Europe,82.8,80.6,85.1
9,  Switzerland,Europe,82.6,80.3,85
10, Guernsey,Europe,82.5,79.9,85.4
11, Israel,Asia,82.4,80.6,84.4
12, South Korea,Asia,82.4,79.3,85.8
13, Luxembourg,Europe,82.3,79.8,84.9
14, Australia,Australia,82.2,79.8,84.8
15, Italy,Europe,82.2,79.6,85
16, Sweden,Europe,82.1,80.2,84.1
17, Canada,North America,81.9,79.2,84.6
18, Jersey,Europe,81.9,79.4,84.5
19, Liechtenstein,Europe,81.9,79.7,84.6
20, France (metropolitan),Europe,81.8,78.7,85.1
21, Norway,Europe,81.8,79.8,83.9
22, Spain,Europe,81.7,78.7,84.9
23, Austria,Europe,81.5,78.9,84.3
24, Anguilla,Europe,81.4,78.8,84.1
25, Bermuda,North America,81.3,78.1,84.5
26, Netherlands,Europe,81.3,79.2,83.6
27, Cayman Islands,North America,81.2,78.5,84
28, Isle of Man,Europe,81.2,79.5,83
29, New Zealand,Australia,81.2,79.1,83.3
30, Belgium,Europe,81,78.4,83.7
31, Finland,Europe,80.9,77.9,84
32, Ireland,Europe,80.8,78.5,83.2
33, Germany,Europe,80.7,78.4,83.1
34, United Kingdom,Europe,80.7,78.5,83
35, Greece,Europe,80.5,77.9,83.3
36, Saint Pierre and Miquelon,North America,80.5,78.2,83
37, Faroe Islands,Europe,80.4,77.8,83.1
38, Malta,Europe,80.4,78,82.8
39, European Union,Europe,80.2,77.4,83.2
40, Taiwan,Asia,80.1,77,83.5
41, U.S. Virgin Islands,North America,80,77,83.2
42, Turks and Caicos Islands,North America,79.8,77.1,82.7
43, United States,North America,79.8,77.5,82.1
44, Wallis and Futuna,Australia,79.7,76.7,82.8
45," Saint Helena, Ascension and Tristan da Cunha",Africa,79.5,76.6,82.6
46, Denmark,Europe,79.4,77,82
47, Gibraltar,Europe,79.4,76.6,82.5
48, Puerto Rico,North America,79.4,75.8,83.1
49, Portugal,Europe,79.3,76.1,82.8
50, Bahrain,Asia,78.9,76.7,81.1
51, Chile,South America,78.8,75.7,81.9
52, Cuba,North America,78.7,76.4,81.1
53, Cyprus,Europe,78.7,75.8,81.6
54, Qatar,Asia,78.7,76.7,80.8
55, British Virgin Islands,North America,78.6,77.2,80.1
56, Costa Rica,North America,78.6,75.9,81.4
57, Czech Republic,Europe,78.6,75.7,81.8
58, Panama,North America,78.6,75.8,81.6
59, Albania,Europe,78.3,75.7,81.2
60, Slovenia,Europe,78.2,74.6,82
61, Dominican Republic,North America,78.1,75.9,80.5
62, Sint Maarten ( Netherlands),Europe,78.1,75.8,80.6
63, Kuwait,Asia,78,76.6,79.4
64, Northern Mariana Islands ( US),North America,78,75.3,80.8
65, Falkland Islands,South America,77.9,75.6,79.6
66, Saint Lucia,North America,77.8,75,80.7
67, New Caledonia ( France),Europe,77.7,73.7,81.9
68, Lebanon,Asia,77.6,76.3,78.9
69, Poland,Europe,77.6,73.7,81.7
70, United Arab Emirates,Asia,77.5,74.8,80.2
71, Brunei,Asia,77.2,74.8,79.6
72, French Polynesia ( France),Europe,77.2,74.9,79.6
73, Paraguay,South America,77.2,74.5,80
74, Uruguay,South America,77.2,74.1,80.5
75, Argentina,South America,77.1,74,80.4
76, Slovakia,Europe,77.1,73.5,80.9
77, Dominica,North America,77,74,80.1
78, Morocco,Africa,76.9,73.8,80.1
79, Algeria,Africa,76.8,75.5,78.2
80, Aruba ( Netherlands),Europe,76.8,73.7,79.9
81, Ecuador,South America,76.8,73.8,79.9
82, Sri Lanka,Asia,76.8,73.3,80.4
83, Bosnia and Herzegovina,Europe,76.7,73.7,80
84, Estonia,Europe,76.7,71.9,81.7
85, Antigua and Barbuda,North America,76.5,74.4,78.8
